id	movie_id	movie_name	user_id	ctime	message
11262	7292	Эверест	4108	2015-10-30 16:24:18.768931+03	Хороший фильм
11257	7439	Прогулка	74389	2015-10-30 11:32:31.311137+03	В 3 д очень страшный под конец фильм.. Но я очень боюсь высоты
11255	7422	Стажер	8218	2015-10-30 05:10:21.35036+03	Отличное кино!
11253	7495	Монстры на каникулах 2	69093	2015-10-30 02:54:45.409569+03	Советую!!! Очень-очень!!!)
11252	7504	Последний охотник на ведьм	74234	2015-10-30 02:01:44.869658+03	Нормал фильм на один раз!!!
11251	7504	Последний охотник на ведьм	47773	2015-10-30 01:44:36.175727+03	Замечательный фильм. Экшен, шутки, актёры, атмосфера, но конец :(  К сожалению, его "слили". Безобъяснительные факты, убрали трагичность, на которой можно было сыграть и даже "всплакнуть" и вот чего-чего не ожидал, что не будет любви у главных героев :(
11246	7504	Последний охотник на ведьм	74110	2015-10-30 00:04:10.689072+03	Интересный фильм на один раз.
11244	7456	Черная месса	28653	2015-10-29 23:55:23.143946+03	Хороший фильм, жестокий, но ведь правда всегда жестокая.
11243	7495	Монстры на каникулах 2	43097	2015-10-29 23:51:42.574943+03	Фильм потрясающий. Подпортил впечатление сам зал. Кинозал самый худший. Кресла грязные, сявушные, на диванах места до ряда что впреди 15 см. ели ноги влезают. Краснодар-Семь Звезд. буду ходить в формулу кино в Оз.
11241	7504	Последний охотник на ведьм	74345	2015-10-29 23:15:29.369036+03	Мне понравился. 
11240	7504	Последний охотник на ведьм	74262	2015-10-29 22:36:39.644722+03	Фильм на раз, может на 2 что бы посмотреть на Дизеля с бородой и волосами
11237	7504	Последний охотник на ведьм	68298	2015-10-29 21:29:28.061543+03	В этом фильме феерично плохо все. И даже Вин Дизель не спасает бледный слепок с «Дозоров» Лукьяненко.
11233	7439	Прогулка	74322	2015-10-29 19:40:01.496109+03	Очень удобно покупать билеты со скидкой 10%
11232	6981	Орлеан	67929	2015-10-29 18:31:28.473075+03	Долго отплевывались
11231	7507	Скауты против зомби	39447	2015-10-29 16:58:56.417223+03	Хороший фильм 👍👍👍👍 
11229	7504	Последний охотник на ведьм	72764	2015-10-29 14:03:38.109315+03	Отличный фильм!!!
11228	7495	Монстры на каникулах 2	51365	2015-10-29 12:44:45.068065+03	Отличный мультфильм, достойное продолжение первой части, только концовка слегка подкачала: слишком банальная...
11224	7435	Багровый пик	74228	2015-10-29 06:26:33.175678+03	Отличный фильм. Немного жуткий, почти не предсказуемый и сильно интересный.
11222	7495	Монстры на каникулах 2	37794	2015-10-28 22:56:20.70208+03	Ребёнок в восторге. 
11221	6871	Шпион	74215	2015-10-28 22:53:21.944958+03	Очень понравился) посмеялись от души
11216	7495	Монстры на каникулах 2	58625	2015-10-28 21:30:54.95176+03	Супер мульт!!! Давно так хорошо не проводил время!
11208	7067	Марсианин	12812	2015-10-28 16:27:35.595869+03	Отличный фильм о человеке, о борьбе за жизнь, о взаимопомощи. Космос очень красив, мечтать американцы умеют, этого у них не отнять. Учимся и наслаждаемся
11200	7500	Паранормальное явление 5: Призраки	8356	2015-10-27 23:52:33.219418+03	Фильм не плох, пару раз повздрагивали даже, но уже не то, что было раньше... Все довольно предсказуемо((
11196	7110	Без границ	41921	2015-10-27 22:11:55.81608+03	фильм супер! очень добрый,местами смешной, местами трогательный. ушли с отличным настроением.
11189	7067	Марсианин	74064	2015-10-27 18:32:13.597606+03	👍🏻👍🏻👍🏻👍🏻👍🏻
11187	7439	Прогулка	73692	2015-10-27 17:35:16.557137+03	Лёгкий, красивый, оптимистичный. Смотреть надо в 3D, чтобы оценить масштаб.
11185	7495	Монстры на каникулах 2	73365	2015-10-27 16:10:56.77473+03	.
11184	7479	Воин	55516	2015-10-27 12:43:59.70803+03	Норм
